,PlAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PU_PPG,PU_FGM_PG,PU_FGA_PG,PU_FG_PCT,PU_FG3M_PG,PU_FG3A_PG,PU_FG3_PCT,PU_EFG_PCT,PU_PTS_TOT,DVS,DVS_PPG,DVS_TPPG,DVS_FG_PCT,DVS_PP48,DVS_PTS_TOT,DVS_TOT,BLK_PG,STL_PG,OPP_FGM_RIM,OPP_FGA_RIM,OPP_FGP_RIM,BLK_TOT,PASS_PG,AST_PG,AST_FT,AST_SEC,AST_OPPS_PG,AST_PTS_CRT_PG,AST_PTS_CRT_48,AST_TOT,TCH_PG,TCH_FC_PG,TOP,CL_TCH_PG,EL_TCH_PG,PPG,PP_TCH,PP_HC_TCH,TCH_TOT,DIST,AVG_SPD,DIST_PG,DIST_48,DIST_OFF,DIST_DEF,AVG_SPD_OFF,AVG_SPD_DEF,REB_PG,REB_CHANCE_PG,REB_COL_PCT,REB_CONTESTED,REB_UNCONTESTED,REB_UNCONTESTED_PCT,REB_TOT,OREB,OREB_CHANCE,OREB_COL_PCT,OREB_CONTESTED,OREB_UNCONTESTED,OREB_UNCONTESTED_PCT,DREB,DREB_CHANCE,DREB_COL_PCT,DREB_CONTESTED,DREB_UNCONTESTED,DREB_UNCONTESTED_PCT,CS_PPG,CS_FGM_PG,CS_FGA_PG,CS_FG_PCT,CS_FG3M_PG,CS_FG3A_PG,CS_FG3_PCT,CS_EFG_PCT,CS_PTS_TOT,CS_PPG,PTS_DRIVE,FGP_DRIVE,PTS_CLOSE,FGP_CLOSE,PTS_CATCH_SHOOT,FGP_CATCH_SHOOT,PTS_PULL_UP,FGP_PULL_UP,FGA_DRIVE,FGA_CLOSE,FGA_CATCH_SHOOT,FGA_PULL_UP,EFG_PCT
1,101106,Andrew Bogut,Andrew,Bogut,GSW,17,28.36078431,0,0,0.117647059,0,0,0,null,0,0,0.588235294,0.705882353,0.823529412,0.714,1.194690265,12,10,1.647058824,0.705882353,3.764705882,8.823529412,0.427,28,33.23529412,2.058823529,0.117647059,0.705882353,3.647058824,4.941176471,8.362831858,35,42.94117647,20.05882353,1.105882353,2.941176471,2.529411765,7.764705882,0.180821918,0.387096774,730,31.02,3.9,1.824705882,3.088274336,16.51,14.51,4.4,3.4,9.058823529,14,0.647,3.294117647,5.764705882,0.364,154,2.294117647,3.882352941,0.591,1.823529412,0.470588235,0.795,6.764705882,10.11764706,0.669,1.470588235,5.294117647,0.217,0,0,0.117647059,0,0,0,null,0,0,7.764705882,0.705882353,0.714,2.411764706,0.606,0,0,0,0,0.411764706,1.941176471,0.117647059,0.117647059,0.572815534
2,101107,Marvin Williams,Marvin,Williams,UTA,13,26.0974359,0.307692308,0.153846154,1.153846154,0.133333333,0,0.230769231,0,0.133333333,4,1.615384615,0.923076923,1.538461538,0.333,1.697779524,12,21,0.384615385,0.846153846,1.923076923,4.230769231,0.455,5,27.76923077,1.076923077,0.076923077,0.153846154,2.384615385,2.461538462,4.527412065,14,38.53846154,24.38461538,0.714102564,0.307692308,1.692307692,10.38461538,0.269461078,0.425867508,501,22.08,3.9,1.698461538,3.123914325,11.63,10.45,4,3.8,5.153846154,8.538461538,0.604,1.538461538,3.615384615,0.299,67,1.307692308,2.076923077,0.63,0.615384615,0.692307692,0.471,3.846153846,6.461538462,0.595,0.923076923,2.923076923,0.24,6,2.153846154,5,0.430769231,1.692307692,3.846153846,0.44,0.6,78,10.38461538,0.923076923,0.333,0.153846154,0.5,6,0.430769231,0.307692308,0.133333333,0.923076923,0.153846154,5,1.153846154,0.567567568
3,101108,Chris Paul,Chris,Paul,LAC,19,34.87368421,10.15789474,4.736842105,11.36842105,0.416666667,0.684210526,2.368421053,0.288888889,0.446759259,193,4.842105263,2.473684211,5.578947368,0.553,3.404769091,47,92,0.157894737,2.315789474,1.263157895,2.052631579,0.615,3,73.21052632,11.78947368,0.631578947,2.105263158,21.31578947,26.05263158,35.8587383,224,94.94736842,83.89473684,7.069298246,1,6.157894737,18.68421053,0.196784922,0.222710163,1804,44.53,4,2.343684211,3.225837609,24.2,20.33,4.6,3.5,4.736842105,7.578947368,0.625,0.578947368,4.157894737,0.122,90,0.578947368,1.315789474,0.44,0.105263158,0.473684211,0.182,4.157894737,6.263157895,0.664,0.473684211,3.684210526,0.114,1.263157895,0.421052632,1.315789474,0.32,0.421052632,0.947368421,0.444444444,0.48,24,18.68421053,2.473684211,0.553,0.736842105,0.667,1.263157895,0.32,10.15789474,0.416666667,2,0.315789474,1.315789474,11.36842105,0.494230769
4,101109,Raymond Felton,Raymond,Felton,NYK,13,34.86410256,4.307692308,1.923076923,5.538461538,0.347222222,0.461538462,1.846153846,0.25,0.388888889,56,6.076923077,2.692307692,6.384615385,0.385,3.706700007,35,79,0.692307692,1.153846154,1.307692308,2.538461538,0.515,9,61.46153846,5.615384615,0.076923077,1.307692308,11.15384615,12.76923077,17.58034861,73,77.15384615,64.76923077,5.864102564,0.615384615,2,11.15384615,0.144566301,0.172209026,1003,29.79,3.9,2.291538462,3.154931235,16.14,13.65,4.2,3.7,2.538461538,5.153846154,0.493,0.461538462,2.076923077,0.182,33,0.769230769,2.076923077,0.37,0.076923077,0.692307692,0.1,1.769230769,3.076923077,0.575,0.384615385,1.384615385,0.217,2.384615385,0.846153846,2.846153846,0.297297297,0.692307692,2.230769231,0.310344828,0.418918919,31,11.15384615,2.692307692,0.385,0.615384615,0.8,2.384615385,0.297297297,4.307692308,0.347222222,3,0.384615385,2.846153846,5.538461538,0.448630137
5,101110,Martell Webster,Martell,Webster,WAS,18,33.89722222,1.055555556,0.5,1.722222222,0.290322581,0.055555556,0.277777778,0.2,0.306451613,19,1.111111111,0.611111111,1.222222222,0.333,0.865360977,11,20,0.333333333,1.055555556,1.055555556,2.333333333,0.452,6,33.77777778,2.277777778,0.333333333,0.5,3.611111111,5.333333333,7.552241252,41,45.22222222,31.94444444,0.988888889,0.833333333,1.055555556,12.44444444,0.275184275,0.389565217,814,41.64,4.1,2.313333333,3.275784643,22.13,19.51,4.4,3.8,4.833333333,7.055555556,0.685,1.277777778,3.555555556,0.264,87,0.888888889,1.222222222,0.727,0.333333333,0.555555556,0.375,3.944444444,5.833333333,0.676,0.944444444,3,0.239,7.722222222,2.666666667,6.222222222,0.428571429,2.388888889,5.777777778,0.413461538,0.620535714,139,12.44444444,0.611111111,0.333,0.888888889,0.8,7.722222222,0.428571429,1.055555556,0.290322581,0.333333333,0.555555556,6.222222222,1.722222222,0.586309524
6,101111,Charlie Villanueva,Charlie,Villanueva,DET,5,7.723333333,0.8,0.4,0.8,0.5,0,0.2,0,0.5,4,0.6,0.8,0.8,0.667,4.971946483,4,3,0.4,0.2,0.2,0.8,0.25,2,11.8,0,0,0,0,0,0,0,16.6,8.2,0.316666667,0.2,0.6,4.8,0.289156627,0.585365854,83,2.63,4.1,0.526,3.269054812,1.47,1.16,4.4,3.8,1.2,1.8,0.667,0,1.2,0,6,0.2,0.4,0.5,0,0.2,0,1,1.4,0.714,0,1,0,2.4,0.8,2.6,0.307692308,0.8,2.4,0.333333333,0.461538462,12,4.8,0.8,0.667,0.4,1,2.4,0.307692308,0.8,0.5,0.6,0.2,2.6,0.8,0.545454545
7,101112,Channing Frye,Channing,Frye,PHX,19,27.33859649,0.210526316,0.105263158,0.842105263,0.125,0,0.157894737,0,0.125,4,0.473684211,0.315789474,0.631578947,0.429,0.554450363,6,9,0.842105263,0.947368421,3.473684211,6.894736842,0.504,16,37.52631579,0.947368421,0.052631579,0.631578947,1.842105263,2.473684211,4.343194507,18,48.31578947,24.15789474,0.914035088,0.684210526,2.315789474,10.84210526,0.224400871,0.448801743,918,33.41,3.9,1.758421053,3.087364436,18.41,15,4.3,3.5,5.315789474,8.894736842,0.598,1.736842105,3.578947368,0.327,101,0.894736842,1.315789474,0.68,0.631578947,0.263157895,0.706,4.421052632,7.578947368,0.583,1.105263158,3.315789474,0.25,6.789473684,2.473684211,5.578947368,0.443396226,1.842105263,4.421052632,0.416666667,0.608490566,129,10.84210526,0.315789474,0.429,0.947368421,0.7,6.789473684,0.443396226,0.210526316,0.125,0.368421053,0.526315789,5.578947368,0.842105263,0.574404762
8,101114,Deron Williams,Deron,Williams,BKN,9,24.13703704,3.333333333,1.555555556,4.666666667,0.333333333,0.222222222,1.111111111,0.2,0.357142857,30,4.333333333,1.111111111,4.111111111,0.333,2.209605647,10,39,0.222222222,0.555555556,0.888888889,1.222222222,0.727,2,47.44444444,6,0.888888889,1.111111111,11.55555556,13.88888889,27.62007058,54,60.11111111,53.22222222,4.492592593,0.444444444,2.888888889,9.333333333,0.155268022,0.175365344,541,15.2,4.2,1.688888889,3.358600583,8.05,7.15,4.6,3.8,1.777777778,3.222222222,0.552,0.333333333,1.444444444,0.188,16,0,0.222222222,0,0,0,-,1.777777778,3,0.593,0.333333333,1.444444444,0.188,2.777777778,1,2,0.5,0.777777778,1.555555556,0.5,0.694444444,25,9.333333333,1.111111111,0.333,0.222222222,1,2.777777778,0.5,3.333333333,0.333333333,1.666666667,0.111111111,2,4.666666667,0.462025316
9,101115,Andrew Bynum,Andrew,Bynum,CLE,14,17.76071429,0.571428571,0.285714286,0.857142857,0.333333333,0,0,null,0.333333333,8,0,0,0,null,0,0,0,1.357142857,0.142857143,1.142857143,3.285714286,0.348,19,15.42857143,1.071428571,0,0.214285714,1.714285714,2.285714286,6.177357732,15,25.78571429,17.35714286,0.894047619,2.785714286,3.285714286,7.928571429,0.307479224,0.456790123,361,15.08,3.6,1.077142857,2.911079831,8.13,6.95,3.7,3.6,4.428571429,6.571428571,0.674,2.285714286,2.142857143,0.516,62,1.642857143,2.428571429,0.676,1.285714286,0.357142857,0.783,2.785714286,4.142857143,0.672,1,1.785714286,0.359,0.857142857,0.428571429,0.928571429,0.461538462,0,0,null,0.461538462,12,7.928571429,0,null,2.071428571,0.379,0.857142857,0.461538462,0.571428571,0.333333333,0,2.071428571,0.928571429,0.857142857,0.4
10,101123,Gerald Green,Gerald,Green,PHX,19,28.12192982,2.578947368,1.157894737,3.263157895,0.35483871,0.263157895,0.842105263,0.3125,0.39516129,49,1.736842105,0.631578947,1.210526316,0.385,1.078012415,12,33,0.421052632,0.631578947,1.631578947,2.842105263,0.574,8,23.68421053,1.368421053,0.052631579,0.368421053,3.315789474,3.157894737,5.390062073,26,37.94736842,29.78947368,1.378947368,0.315789474,1.631578947,13.52631579,0.356449376,0.454063604,721,37.22,4.2,1.958947368,3.343635173,19.26,17.96,4.4,4,2.736842105,5.263157895,0.52,0.473684211,2.263157895,0.173,52,0.526315789,1.052631579,0.5,0.210526316,0.315789474,0.4,2.210526316,4.210526316,0.525,0.263157895,1.947368421,0.119,7.105263158,2.473684211,6.315789474,0.391666667,2.157894737,5.631578947,0.38317757,0.5625,135,13.52631579,0.631578947,0.385,0.210526316,0.667,7.105263158,0.391666667,2.578947368,0.35483871,0.684210526,0.157894737,6.315789474,3.263157895,0.545454545
