"PlAYER_ID","PLAYER","FIRST_NAME","LAST_NAME","TEAM_ABBREVIATION","GP","MIN","PU_PPG","PU_FGM_PG","PU_FGA_PG","PU_FG_PCT","PU_FG3M_PG","PU_FG3A_PG","PU_FG3_PCT","PU_EFG_PCT","PU_PTS_TOT","DVS","DVS_PPG","DVS_TPPG","DVS_FG_PCT","DVS_PP48","DVS_PTS_TOT","DVS_TOT","BLK_PG","STL_PG","OPP_FGM_RIM","OPP_FGA_RIM","OPP_FGP_RIM","BLK_TOT","PASS_PG","AST_PG","AST_FT","AST_SEC","AST_OPPS_PG","AST_PTS_CRT_PG","AST_PTS_CRT_48","AST_TOT","TCH_PG","TCH_FC_PG","TOP","CL_TCH_PG","EL_TCH_PG","PPG","PP_TCH","PP_HC_TCH","TCH_TOT","DIST","AVG_SPD","DIST_PG","DIST_48","DIST_OFF","DIST_DEF","AVG_SPD_OFF","AVG_SPD_DEF","REB_PG","REB_CHANCE_PG","REB_COL_PCT","REB_CONTESTED","REB_UNCONTESTED","REB_UNCONTESTED_PCT","REB_TOT","OREB","OREB_CHANCE","OREB_COL_PCT","OREB_CONTESTED","OREB_UNCONTESTED","OREB_UNCONTESTED_PCT","DREB","DREB_CHANCE","DREB_COL_PCT","DREB_CONTESTED","DREB_UNCONTESTED","DREB_UNCONTESTED_PCT","CS_PPG","CS_FGM_PG","CS_FGA_PG","CS_FG_PCT","CS_FG3M_PG","CS_FG3A_PG","CS_FG3_PCT","CS_EFG_PCT","CS_PTS_TOT","PPG.duplicate","PPG_DRIVE","FGP_DRIVE","PPG_CLOSE","FGP_CLOSE","PPG_CATCH_SHOOT","FGP_CATCH_SHOOT","PTS_PULL_UP","FGP_PULL_UP","FGA_DRIVE","FGA_CLOSE","FGA_CATCH_SHOOT","FGA_PULL_UP","EFG_PCT"
101106,"Andrew Bogut","Andrew","Bogut","GSW",66,26.630303,0.15151515,0.07575758,0.18181818,0.416666666666667,0,0,NA,0.416666666666667,10,0.53030303,0.48484848,0.65151515,0.56,0.87391898,32,35,1.78787879,0.6969697,3.42424242,7.60606061,0.45,118,32.19697,1.68181818,0.15151515,0.59090909,3.3030303,4.030303,7.2644515,111,40.19697,18.090909,1.06388889,2.22727273,1.24242424,7.3636364,0.18318884,0.40703518,2653,112.8,3.9,1.7090909,3.080564,59.98,52.82,4.3,3.4,9.9848485,14.6666667,0.681,3.78787879,6.1969697,0.379,659,2.72727273,4.31818182,0.632,2.03030303,0.6969697,0.744,7.2575758,10.3484848,0.701,1.75757576,5.5,0.242,0.09090909,0.04545455,0.12121212,0.375,0,0,NA,0.375,6,7.3636364,0.48484848,0.56,2.36363636,0.778,0.09090909,0.375,0.15151515,0.416666666666667,0.37878788,1.5,0.12121212,0.18181818,0.623655913978495
101107,"Marvin Williams","Marvin","Williams","UTA",66,25.462879,0.57575758,0.25757576,0.8030303,0.320754716981132,0.06060606,0.24242424,0.25,0.358490566037736,38,1.40909091,0.92424242,1.66666667,0.339,1.74228675,61,93,0.46969697,0.81818182,1.96969697,4.06060606,0.485,31,27.727273,1.18181818,0.13636364,0.33333333,2.56060606,2.9242424,5.512481,78,37.424242,22,0.75631313,1.01515152,2.24242424,9.1363636,0.24412955,0.41528926,2470,110.65,4,1.6765152,3.160394,59.13,51.52,4.1,3.8,5.0606061,8.4545455,0.599,1.48484848,3.57575758,0.293,334,1.24242424,2.27272727,0.547,0.63636364,0.60606061,0.512,3.8181818,6.1818182,0.618,0.84848485,2.96969697,0.222,4.53030303,1.66666667,4.51515152,0.369127516778524,1.1969697,3.25757576,0.367441860465116,0.501677852348993,299,9.1363636,0.92424242,0.339,0.60606061,0.643,4.53030303,0.369127516778524,0.57575758,0.320754716981132,0.84848485,0.42424242,4.51515152,0.8030303,0.519011406844107
101108,"Chris Paul","Chris","Paul","LAC",62,35.26586,8.03225806,3.66129032,8.43548387,0.434034416826004,0.70967742,2.12903226,0.333333333333333,0.476099426386233,498,5.46774194,3.32258065,6.35483871,0.522,4.52233038,206,339,0.06451613,2.48387097,1.11290323,1.79032258,0.622,4,71.516129,10.69354839,0.98387097,2.22580645,19.79032258,24.4516129,33.2808391,663,94.629032,81.209677,7.13306452,0.96774194,2.74193548,19.1129032,0.20197716,0.23535253,5867,144.9,4,2.3370968,3.180998,77.89,67.01,4.5,3.5,4.3225806,7.4193548,0.583,0.77419355,3.5483871,0.179,268,0.61290323,1.35483871,0.452,0.20967742,0.40322581,0.342,3.7096774,6.0645161,0.612,0.56451613,3.14516129,0.152,1.75806452,0.62903226,1.46774194,0.428571428571429,0.5,1.09677419,0.455882352941176,0.598901098901099,109,19.1129032,3.32258065,0.522,0.5483871,0.583,1.75806452,0.428571428571429,8.03225806,0.434034416826004,2.53225806,0.38709677,1.46774194,8.43548387,0.511494252873563
101109,"Raymond Felton","Raymond","Felton","NYK",65,31.181282,2.55384615,1.15384615,3.33846154,0.345622119815668,0.24615385,1.01538462,0.242424242424242,0.382488479262673,166,5.15384615,2.66153846,5.56923077,0.406,4.09713257,173,335,0.41538462,1.2,0.93846154,1.83076923,0.513,27,55.769231,5.61538462,0.2,0.84615385,10.61538462,13.5538462,20.8645884,365,70.369231,56.276923,5.35641026,0.47692308,0.69230769,9.6923077,0.13773502,0.17222526,4574,136.01,4,2.0924615,3.221104,73.91,62.1,4.3,3.8,3.0307692,5.3692308,0.564,0.47692308,2.55384615,0.157,197,0.83076923,1.83076923,0.454,0.24615385,0.58461538,0.296,2.2,3.5384615,0.622,0.23076923,1.96923077,0.105,2.58461538,0.93846154,2.61538462,0.358823529411765,0.70769231,1.96923077,0.359375,0.494117647058824,168,9.6923077,2.66153846,0.406,0.35384615,0.647,2.58461538,0.358823529411765,2.55384615,0.345622119815668,2.38461538,0.26153846,2.61538462,3.33846154,0.445723684210526
101110,"Martell Webster","Martell","Webster","WAS",77,27.816883,0.94805195,0.4025974,1.27272727,0.316326530612245,0.14285714,0.44155844,0.323529411764706,0.372448979591837,73,1.01298701,0.71428571,1.09090909,0.5,1.23255054,55,78,0.19480519,0.53246753,0.76623377,1.54545455,0.496,15,25.220779,1.25974026,0.16883117,0.4025974,2.41558442,2.8961039,4.9974322,97,34.844156,25.974026,0.88030303,0.63636364,0.51948052,9.7662338,0.28028327,0.376,2683,144.36,4,1.8748052,3.235109,76.3,68.06,4.3,3.8,2.8311688,4.3636364,0.649,0.72727273,2.1038961,0.257,218,0.48051948,0.72727273,0.661,0.18181818,0.2987013,0.378,2.3506494,3.6363636,0.646,0.54545455,1.80519481,0.232,5.63636364,1.96103896,4.71428571,0.415977961432507,1.71428571,4.25974026,0.402439024390244,0.597796143250689,434,9.7662338,0.71428571,0.5,0.62337662,0.731,5.63636364,0.415977961432507,0.94805195,0.316326530612245,0.41558442,0.33766234,4.71428571,1.27272727,0.558519793459552
101111,"Charlie Villanueva","Charlie","Villanueva","DET",20,9.049167,0.45,0.2,0.5,0.4,0.05,0.3,0.166666666666667,0.45,9,0.7,0.7,1,0.556,3.71304908,14,14,0.25,0.2,1,1.8,0.556,5,11.6,0.3,0,0.05,0.8,0.75,3.9782669,6,17.15,9.55,0.325,0.55,0.5,4.6,0.26822157,0.48167539,343,12.07,4,0.6035,3.201179,6.58,5.49,4.3,3.7,1.7,3.2,0.531,0.55,1.15,0.324,34,0.3,0.75,0.4,0.25,0.05,0.833,1.4,2.45,0.571,0.3,1.1,0.214,2.05,0.7,2.8,0.25,0.65,2.5,0.26,0.366071428571429,41,4.6,0.7,0.556,0.65,0.75,2.05,0.25,0.45,0.4,0.45,0.4,2.8,0.5,0.456521739130435
101112,"Channing Frye","Channing","Frye","PHX",82,28.336789,0.64634146,0.31707317,0.81707317,0.388059701492537,0.01219512,0.15853659,0.0769230769230769,0.395522388059701,53,0.46341463,0.31707317,0.46341463,0.48,0.53709375,26,38,0.76829268,0.73170732,3.37804878,6.47560976,0.522,63,35.987805,1.19512195,0.07317073,0.6097561,2.34146341,2.9146341,4.9371311,98,47.609756,24.634146,0.90060976,0.92682927,2.04878049,11.097561,0.23309426,0.45049505,3904,149.06,3.8,1.8178049,3.0792,82.27,66.79,4.3,3.4,5.0731707,8.9878049,0.564,1.65853659,3.41463415,0.327,416,0.8902439,1.69512195,0.525,0.58536585,0.30487805,0.658,4.1829268,7.2926829,0.574,1.07317073,3.1097561,0.257,6.85365854,2.47560976,6.18292683,0.400394477317554,1.90243902,4.98780488,0.381418092909535,0.554240631163708,562,11.097561,0.31707317,0.48,0.8902439,0.587,6.85365854,0.400394477317554,0.64634146,0.388059701492537,0.30487805,0.56097561,6.18292683,0.81707317,0.534704370179949
101114,"Deron Williams","Deron","Williams","BKN",64,32.277604,3.859375,1.734375,4.375,0.396428571428571,0.390625,1.546875,0.252525252525253,0.441071428571429,247,5.6875,3.1875,5.875,0.497,4.74012877,204,364,0.203125,1.453125,1.03125,1.671875,0.617,13,60.609375,6.125,0.875,1.8125,12.65625,15.09375,22.4459039,392,77.78125,66.0625,6.10677083,0.75,1.296875,14.296875,0.18380876,0.21641438,4978,141.49,4.1,2.2107813,3.287651,77,64.49,4.5,3.7,2.625,4.5625,0.575,0.421875,2.203125,0.161,168,0.234375,0.625,0.375,0.078125,0.15625,0.333,2.390625,3.9375,0.607,0.34375,2.046875,0.144,4.03125,1.453125,3.171875,0.458128078817734,1.125,2.546875,0.441717791411043,0.635467980295567,258,14.296875,3.1875,0.497,0.484375,0.619,4.03125,0.458128078817734,3.859375,0.396428571428571,2.421875,0.328125,3.171875,4.375,0.518156424581006
101115,"Andrew Bynum","Andrew","Bynum","CLE",24,19.829861,0.33333333,0.16666667,0.70833333,0.235294117647059,0,0,NA,0.235294117647059,8,0,0,0,NA,0,0,0,1.16666667,0.25,1.33333333,3.54166667,0.376,28,15.875,1.125,0,0.20833333,1.75,2.5,6.0514796,27,26.666667,17.625,0.89652778,3.45833333,3.33333333,8.4166667,0.315625,0.47754137,640,28.98,3.7,1.2075,2.922865,15.36,13.62,3.8,3.6,5.25,7.9166667,0.663,2.625,2.625,0.5,126,1.95833333,3.20833333,0.61,1.41666667,0.54166667,0.723,3.2916667,4.7083333,0.699,1.20833333,2.08333333,0.367,0.83333333,0.41666667,1.25,0.333333333333333,0,0,NA,0.333333333333333,20,8.4166667,0,NA,2.20833333,0.375,0.83333333,0.333333333333333,0.33333333,0.235294117647059,0,2.33333333,1.25,0.70833333,0.41871921182266
101115,"Andrew Bynum","Andrew","Bynum","IND",2,17.925,0,0,0,NA,0,0,NA,NA,0,0.5,1,1,1,2.67782427,2,1,0.5,0,2.5,3.5,0.714,1,14,1,0,0.5,1,1,2.6778243,2,30,19,0.85833333,10,1,11.5,0.38333333,0.60526316,60,2.19,3.7,1.095,2.932218,1.18,1.01,3.7,3.6,9.5,11.5,0.826,4,5.5,0.421,19,3,4,0.75,2,1,0.667,6.5,7.5,0.867,2,4.5,0.308,1,0.5,1,0.5,0,0,NA,0.5,2,11.5,1,1,6.5,0.308,1,0.5,0,NA,0.5,6.5,1,0,0.409090909090909
