FIRST_NAME,LAST_NAME,COUNTRY,DISPLAY_FIRST_LAST,TEAM_ABBREVIATION,SCHOOL,BIRTHDATE,TEAM_ID,TEAM_CODE,DISPLAY_FI_LAST,TEAM_CITY,PLAYERCODE,PERSON_ID,POSITION,DISPLAY_LAST_COMMA_FIRST,LAST_AFFILIATION,ROSTERSTATUS,TEAM_NAME,JERSEY
Andrew,Bogut,Australia,Andrew Bogut,GSW,Utah,1984-11-28T00:00:00,1610612744,warriors,A. Bogut,Golden State,andrew_bogut,101106,Center,"Bogut, Andrew",Utah/Australia,Active,Warriors,12
Marvin,Williams,USA,Marvin Williams,UTA,North Carolina,1986-06-19T00:00:00,1610612762,jazz,M. Williams,Utah,marvin_williams,101107,Forward,"Williams, Marvin",North Carolina/USA,Active,Jazz,2
Chris,Paul,USA,Chris Paul,LAC,Wake Forest,1985-05-06T00:00:00,1610612746,clippers,C. Paul,Los Angeles,chris_paul,101108,Guard,"Paul, Chris",Wake Forest/USA,Active,Clippers,3
Raymond,Felton,USA,Raymond Felton,NYK,North Carolina,1984-06-26T00:00:00,1610612752,knicks,R. Felton,New York,raymond_felton,101109,Guard,"Felton, Raymond",North Carolina/USA,Active,Knicks,2
Martell,Webster,USA,Martell Webster,WAS,Seattle Prep HS (WA),1986-12-04T00:00:00,1610612764,wizards,M. Webster,Washington,martell_webster,101110,Forward-Guard,"Webster, Martell",Seattle Prep HS (WA)/USA,Active,Wizards,9
Charlie,Villanueva,USA,Charlie Villanueva,DET,Connecticut,1984-08-24T00:00:00,1610612765,pistons,C. Villanueva,Detroit,charlie_villanueva,101111,Forward,"Villanueva, Charlie",Connecticut/USA,Active,Pistons,31
Channing,Frye,USA,Channing Frye,PHX,Arizona,1983-05-17T00:00:00,1610612756,suns,C. Frye,Phoenix,channing_frye,101112,Forward-Center,"Frye, Channing",Arizona/USA,Active,Suns,8
Deron,Williams,USA,Deron Williams,BKN,Illinois,1984-06-26T00:00:00,1610612751,nets,D. Williams,Brooklyn,deron_williams,101114,Guard,"Williams, Deron",Illinois/USA,Active,Nets,8
Andrew,Bynum,USA,Andrew Bynum,IND,St. Joseph HS (NJ),1987-10-27T00:00:00,1610612754,pacers,A. Bynum,Indiana,andrew_bynum,101115,Center,"Bynum, Andrew",St. Joseph HS (NJ)/USA,Active,Pacers,17
Andrew,Bynum,USA,Andrew Bynum,IND,St. Joseph HS (NJ),1987-10-27T00:00:00,1610612754,pacers,A. Bynum,Indiana,andrew_bynum,101115,Center,"Bynum, Andrew",St. Joseph HS (NJ)/USA,Active,Pacers,17
Andrew,Bynum,USA,Andrew Bynum,IND,St. Joseph HS (NJ),1987-10-27T00:00:00,1610612754,pacers,A. Bynum,Indiana,andrew_bynum,101115,Center,"Bynum, Andrew",St. Joseph HS (NJ)/USA,Active,Pacers,17
Danny,Granger,USA,Danny Granger,LAC,New Mexico,1983-04-20T00:00:00,1610612746,clippers,D. Granger,Los Angeles,danny_granger,101122,Forward,"Granger, Danny",New Mexico/USA,Active,Clippers,33
Danny,Granger,USA,Danny Granger,LAC,New Mexico,1983-04-20T00:00:00,1610612746,clippers,D. Granger,Los Angeles,danny_granger,101122,Forward,"Granger, Danny",New Mexico/USA,Active,Clippers,33
Danny,Granger,USA,Danny Granger,LAC,New Mexico,1983-04-20T00:00:00,1610612746,clippers,D. Granger,Los Angeles,danny_granger,101122,Forward,"Granger, Danny",New Mexico/USA,Active,Clippers,33
Gerald,Green,USA,Gerald Green,PHX,Gulf Shores Aca. (TX),1986-01-26T00:00:00,1610612756,suns,G. Green,Phoenix,gerald_green,101123,Guard-Forward,"Green, Gerald",Gulf Shores Academy (TX)/USA,Active,Suns,14
Nate,Robinson,USA,Nate Robinson,DEN,Washington,1984-05-31T00:00:00,1610612743,nuggets,N. Robinson,Denver,nate_robinson,101126,Guard,"Robinson, Nate",Washington/USA,Active,Nuggets,10
Jarrett,Jack,USA,Jarrett Jack,CLE,Georgia Tech,1983-10-28T00:00:00,1610612739,cavaliers,J. Jack,Cleveland,jarrett_jack,101127,Guard,"Jack, Jarrett",Georgia Tech/USA,Active,Cavaliers,1
Francisco,Garcia,Dominican Republic,Francisco Garcia,HOU,Louisville,1980-12-31T00:00:00,1610612745,rockets,F. Garcia,Houston,francisco_garcia,101128,Guard-Forward,"Garcia, Francisco",Louisville/Dominican Republic,Active,Rockets,32
Jason,Maxiell,USA,Jason Maxiell,ORL,Cincinnati,1983-02-18T00:00:00,1610612753,magic,J. Maxiell,Orlando,jason_maxiell,101131,Forward,"Maxiell, Jason",Cincinnati/USA,Active,Magic,54
